symbol,price_min,price_max,price_avg,price_variance,trade_count,total_volume,price_first,price_last,price_stddev,window_start,window_end,window_start_str,window_end_str
BTCUSDT,76338.62,76338.63,76338.62333333334,2.5000000046089724E-5,9,0.05403,76338.62,76338.62,0.005000000004608972,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
BTCUSDT,76310.0,76335.37,76321.75407407402,55.50705329677712,729,1.019810000000005,76335.37,76310.01,7.4503055841205015,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
ETHUSDT,2323.59,2323.59,2323.59,,1,0.0591,2323.59,2323.59,,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2026-04-21 20:01:30,2026-04-21 20:02:30
BTCUSDT,76288.31,76310.0,76301.45493203902,52.3602904134774,515,2.789940000000002,76310.0,76288.31,7.236041073230403,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2322.14,2322.78,2322.421476683939,0.04219028127321688,386,3.533900000000009,2322.78,2322.14,0.20540272946876068,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,1.4292,1.4294,1.4292720588235275,7.118086040344815E-9,68,1153.7999999999997,1.4294,1.4292,8.436875037799728E-5,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BTCUSDT,76289.3,76302.0,76295.74235074634,19.32167123256452,268,2.4258100000000042,76301.99,76289.3,4.395642300342979,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2321.92,2322.24,2322.097683615822,0.00984901009901214,354,28.044200000000025,2322.12,2321.93,0.09924217903196272,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,1.429,1.4291,1.429039393939394,2.462121212128487E-9,33,1794.7,1.4291,1.4291,4.961976634496063E-5,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,86.35,86.36,86.35714285714286,2.380952380954761E-5,7,5.014,86.36,86.35,0.004879500364745105,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ADAUSDT,0.2493,0.2493,0.2493,0.0,10,31710.499999999993,0.2493,0.2493,0.0,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,86.35,86.36,86.35170731707315,1.4512195121981197E-5,41,72.838,86.35,86.36,0.003809487514349036,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ADAUSDT,0.2494,0.2494,0.2494,,1,23.1,0.2494,0.2494,,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,86.3,86.33,86.31509090909093,4.397306397314442E-5,55,105.74500000000002,86.33,86.31,0.006631218890456296,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
