symbol,window_start,window_end,price_min,price_max,price_avg,price_variance,trade_count,total_volume,pct_return,volatility,volume_intensity,price_speed,prediction,distance_to_centroid,label,label_binary,window_start_str,window_end_str
ADAUSDT,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,0.2493,0.2493,0.2493,0.0,5,568.4,0.0,0.0,113.67999999999999,0.0,0,0.8865310058611965,normal,0,2026-04-21 20:01:30,2026-04-21 20:02:30
BNBUSDT,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,633.19,633.2,633.1916666666667,1.5151515151483833E-5,12,1.014,1.5793047900299917E-5,6.1474193766557125E-6,0.0845,1.5793006330349005E-5,0,0.7785393818138999,normal,0,2026-04-21 20:01:30,2026-04-21 20:02:30
SOLUSDT,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,86.35,86.36,86.35170731707315,1.4512195121981197E-5,41,72.838,1.1580775911992028E-4,4.411594898015222E-5,1.7765365853658535,1.1580546940764369E-4,0,0.48718698447855374,normal,0,2026-04-21 20:01:30,2026-04-21 20:02:30
AVAXUSDT,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,9.4,9.4,9.4,,1,52.94,0.0,0.0,52.94,0.0,0,0.8872450646673747,normal,0,2026-04-21 20:01:30,2026-04-21 20:02:30
BTCUSDT,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,76335.37,76338.63,76337.61447552455,2.2078009553401623,143,0.6527000000000006,-4.257346509886279E-5,1.946441583357104E-5,0.004564335664335669,4.270502847655186E-5,0,0.605394822871052,normal,0,2026-04-21 20:01:30,2026-04-21 20:02:30
BTCUSDT,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,76310.0,76335.37,76321.75407407402,55.50705329677712,729,1.019810000000005,-3.322182102477604E-4,9.761706442031734E-5,0.0013989163237311455,3.3240850276282315E-4,0,2.0373378876184094,normal,0,2026-04-21 20:01:30,2026-04-21 20:02:30
BTCUSDT,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,76338.62,76338.63,76338.62333333334,2.5000000046089724E-5,9,0.05403,0.0,6.549764439393181E-8,0.006003333333333334,1.3099528878911175E-7,0,0.8971067104725526,normal,0,2026-04-21 20:01:30,2026-04-21 20:02:30
ETHUSDT,2026-04-21T20:01:30.000-06:00,2026-04-21T20:02:30.000-06:00,2323.59,2323.59,2323.59,,1,0.0591,0.0,0.0,0.0591,0.0,0,0.8982159652992656,normal,0,2026-04-21 20:01:30,2026-04-21 20:02:30
BTCUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,76288.31,76310.0,76301.45493203902,52.3602904134774,515,2.789940000000002,-2.842353557856418E-4,9.483490294746641E-5,0.005417359223300974,2.8426718755653356E-4,0,1.7376037496500725,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2322.14,2322.78,2322.421476683939,0.04219028127321688,386,3.533900000000009,-2.755319057337877E-4,8.844334739878664E-5,0.009155181347150283,2.755744409124863E-4,0,1.6472002596822197,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
